;distance_travelled_center;speed_in_cm/s;distance_nose_leftdish;distance_nose_rightdish;is_left_cagehalf;is_right_cagehalf;is_investigating_leftdish;is_investigating_rightdish
0;22.90042248;22.90042248;934.4697338;173.8230457;0;1;0;0
1;;;939.2490854;185.1458695;0;1;0;0
2;;;939.8602989;191.7769665;;;0;0
3;;;943.020516;203.1465493;;;0;0
4;;;947.3263885;216.453221;;;0;0
5;;;948.6540311;225.6215007;;;0;0
6;28.50935289;28.50935289;952.2958096;234.8104172;0;1;0;0
7;24.73457679;24.73457679;953.1268488;238.9823885;0;1;0;0
8;23.38629788;23.38629788;950.8516322;242.4111422;0;1;0;0
9;19.18093674;19.18093674;944.3938037;245.0446409;0;1;0;0
10;11.19549141;11.19549141;942.8846787;248.9196063;0;1;0;0
11;9.540312634;9.540312634;939.1442024;251.6520729;0;1;0;0
12;6.192959326;6.192959326;930.6428706;249.5493028;0;1;0;0
13;10.7725013;10.7725013;920.1971517;241.6420331;0;1;0;0
14;11.87289244;11.87289244;908.5224477;231.8961396;0;1;0;0
15;7.052669603;7.052669603;895.8976138;222.6329167;0;1;0;0
16;9.252362922;9.252362922;887.9790526;217.4510785;0;1;0;0
17;12.11944394;12.11944394;879.4529403;212.998642;0;1;0;0
18;7.780330466;7.780330466;871.3628125;208.5005337;0;1;0;0
19;6.35968692;6.35968692;869.8289658;208.472761;0;1;0;0
20;6.298524075;6.298524075;867.9535997;210.8939704;0;1;0;0
21;3.412514483;3.412514483;864.1839079;212.0278418;0;1;0;0
22;6.840693711;6.840693711;859.6729269;213.2726018;0;1;0;0
23;5.154582155;5.154582155;859.8517284;218.7422471;0;1;0;0
24;;;859.4957969;225.0865014;0;1;0;0
25;;;860.148996;235.6853624;;;0;0
26;;;858.0592772;244.5343376;;;0;0
27;;;856.3569084;253.2555427;;;0;0
28;;;855.8269964;260.3800251;;;0;0
29;;;853.9153237;265.8794489;;;0;0
30;;;847.0710504;269.9976535;;;0;0
31;4.908026884;4.908026884;842.9723667;274.3708451;0;1;0;0
32;14.00801201;14.00801201;837.2469129;280.0028858;0;1;0;0
33;;;832.6035273;285.5685622;0;1;0;0
34;;;829.8663484;290.3074344;;;0;0
35;10.68623742;10.68623742;828.6396469;296.2982478;0;1;0;0
36;10.67681998;10.67681998;825.0683057;299.6974583;0;1;0;0
37;12.03986214;12.03986214;822.7039201;305.7665445;0;1;0;0
38;11.42702771;11.42702771;822.7908914;312.1585141;0;1;0;0
39;13.76129984;13.76129984;823.0703296;320.0357772;0;1;0;0
40;11.21533915;11.21533915;821.1993282;325.3691069;0;1;0;0
41;3.282359967;3.282359967;821.8004031;328.2581955;0;1;0;0
42;1.335394638;1.335394638;827.5614889;331.6955212;0;1;0;0
43;2.317098893;2.317098893;831.5906395;334.7817893;0;1;0;0
44;3.697420488;3.697420488;834.0482805;336.3532511;0;1;0;0
45;11.30206633;11.30206633;837.091775;336.7013;0;1;0;0
