,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_leftpetridish,distance_nose_rightpetridish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_leftpetridish,is_investigating_rightpetridish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0007470951718604,0.1613725571218521,0.0,0.05,1165.90757452947,539.7581709280008,0.0,1.0,0.0,0.0,2.0,0.0,0.0
1,0.0005826360440464,0.1258493855140229,0.0,0.05,1163.4707256255886,539.149262855964,0.0,1.0,0.0,0.0,2.0,0.0,0.0
2,0.0010610852597344,0.2291944161026359,0.0,0.05,1159.5090495294287,535.6897536629724,0.0,1.0,0.0,0.0,2.0,0.0,0.0
3,0.0002594992032047,0.0560518278922168,0.0,0.05,1155.8975172105252,534.1903054542363,0.0,1.0,0.0,0.0,2.0,0.0,0.0
4,0.0011354283442578,0.2452525223596957,0.0,0.05,1155.1444937323852,537.7087277509983,0.0,1.0,0.0,0.0,2.0,0.0,0.0
5,0.0013091657963954,0.2827798120214248,0.0,0.05,1156.443398146302,544.7950538549023,0.0,1.0,0.0,0.0,2.0,0.0,0.0
6,0.0008359012278945,0.1805546652252327,0.0,0.05,1154.313398233055,547.0055790517641,0.0,1.0,0.0,0.0,2.0,0.0,0.0
7,0.0013483597820958,0.2912457129327132,0.0,0.05,1144.92387174663,542.2716429687389,0.0,1.0,0.0,0.0,2.0,0.0,0.0
8,0.0007066362591079,0.1526334319673255,0.0,0.05,1140.6261045329156,538.9869789717366,0.0,1.0,0.0,0.0,2.0,0.0,0.0
9,0.0012727063393561,0.2749045693009287,0.0,0.05,1135.3759917819505,532.927323129516,0.0,1.0,0.0,0.0,2.0,0.0,0.0
10,0.001581580337512,0.341621352902594,0.0,0.05,1133.14993473795,523.2597568395767,0.0,1.0,0.0,0.0,2.0,0.0,0.0
11,0.0010614883501542,0.2292814836333286,0.0,0.05,1133.5825011879135,519.6961946280816,0.0,1.0,0.0,0.0,2.0,0.0,0.0
12,,,,0.05,1130.53152081371,516.4854600573077,0.0,1.0,0.0,0.0,2.0,0.0,0.0
13,,,,0.05,1131.848761060441,511.7798811059124,,,0.0,0.0,2.0,0.0,0.0
14,,,,0.05,1140.4645165407587,514.9203744139971,,,0.0,0.0,2.0,0.0,0.0
15,,,,0.05,1142.2795189696678,514.2612818475448,0.0,1.0,0.0,0.0,2.0,0.0,0.0
16,,,,0.05,1143.0541038211716,510.93143778509,,,0.0,0.0,2.0,0.0,0.0
17,,,,0.05,1142.6225031722042,507.23486238172273,,,0.0,0.0,2.0,0.0,0.0
18,,,,0.05,1139.7116132038857,501.8712748868421,,,0.0,0.0,2.0,0.0,0.0
19,,,,0.05,1132.6336981596871,494.54916074777486,,,0.0,0.0,2.0,0.0,0.0
20,,,,0.05,1127.773105847978,489.9853484597916,,,0.0,0.0,2.0,0.0,0.0
21,,,,0.05,1123.3038408950028,487.9904027817694,,,0.0,0.0,2.0,0.0,0.0
22,,,,0.05,1118.1991471787444,485.3066301034988,,,0.0,0.0,2.0,0.0,0.0
23,0.0017977526514914,0.388314572722157,0.0,0.05,1110.2664623728192,478.3354103257215,0.0,1.0,0.0,0.0,2.0,0.0,0.0
24,,,,0.05,1101.0440335060891,471.0518708848636,0.0,1.0,0.0,0.0,2.0,0.0,0.0
25,,,,0.05,1088.490788523135,462.2859544118984,,,0.0,0.0,2.0,0.0,0.0
26,0.0035735928413388,0.7718960537291953,0.0,0.05,1083.1710137763423,463.75184048297336,0.0,1.0,0.0,0.0,2.0,0.0,0.0
27,0.0010136638220897,0.2189513855713871,0.0,0.05,1075.3848683298909,463.3008920175623,0.0,1.0,0.0,0.0,2.0,0.0,0.0
28,0.0022273535031923,0.4811083566895434,0.0,0.05,1063.5053961556748,459.8894263910283,0.0,1.0,0.0,0.0,2.0,0.0,0.0
29,0.0032203663242701,0.6955991260423466,0.0,0.05,1057.044792938594,463.8586500907685,0.0,1.0,0.0,0.0,2.0,0.0,0.0
30,0.0023313422807527,0.5035699326425878,0.0,0.05,1046.297810202955,458.6653657929899,0.0,1.0,0.0,0.0,2.0,0.0,0.0
31,0.0003328551898191,0.0718967210009378,0.0,0.05,1040.5792158494944,457.6854791995476,0.0,1.0,0.0,0.0,2.0,0.0,0.0
32,0.0007925660581018,0.1711942685499917,0.0,0.05,1035.8189209668626,456.20668703642286,0.0,1.0,0.0,0.0,2.0,0.0,0.0
33,0.0007285997975452,0.157377556269766,0.0,0.05,1024.263722685817,448.1756549991322,0.0,1.0,0.0,0.0,2.0,0.0,0.0
34,0.0010696633862238,0.2310472914243542,0.0,0.05,1014.5484465124816,442.3243144128155,0.0,1.0,0.0,0.0,2.0,0.0,0.0
35,0.0021713226912822,0.4690057013169585,0.0,0.05,1011.2593851186843,434.6555286233397,0.0,1.0,0.0,0.0,2.0,0.0,0.0
36,0.0011495772578081,0.2483086876865511,0.0,0.05,1005.8040552340052,430.0699977243789,0.0,1.0,0.0,0.0,2.0,0.0,0.0
37,0.0014687379193674,0.3172473905833681,0.0,0.05,1002.4152970323654,424.9236473770084,0.0,1.0,0.0,0.0,2.0,0.0,0.0
38,0.001516439197876,0.3275508667412297,0.0,0.05,1003.140665674164,421.5800515263404,0.0,1.0,0.0,0.0,2.0,0.0,0.0
39,0.0005860076593454,0.1265776544186206,0.0,0.05,1003.3102271134734,420.3182696078456,0.0,1.0,0.0,0.0,2.0,0.0,0.0
40,0.002074687832631,0.4481325718483159,0.0,0.05,1006.494176492287,420.5952910983282,0.0,1.0,0.0,0.0,2.0,0.0,0.0
41,0.0005145275944977,0.1111379604115169,0.0,0.05,1014.4210568466108,418.84833272674433,0.0,1.0,0.0,0.0,2.0,0.0,0.0
42,0.0009508163416285,0.2053763297917676,0.0,0.05,1023.1602751859068,423.6829893512818,0.0,1.0,0.0,0.0,2.0,0.0,0.0
43,0.0010357817010837,0.2237288474340985,0.0,0.05,1033.9261582647016,433.2433128524781,0.0,1.0,0.0,0.0,2.0,0.0,0.0
44,0.0012450306235623,0.2689266146894609,0.0,0.05,1039.1117882830297,437.4102105454467,0.0,1.0,0.0,0.0,2.0,0.0,0.0
45,0.0005082019783373,0.1097716273208723,0.0,0.05,1045.118627311695,437.09495709836426,0.0,1.0,0.0,0.0,2.0,0.0,0.0
46,0.0013360794517781,0.28859316158407,0.0,0.05,1051.0000634931498,436.08037993743534,0.0,1.0,0.0,0.0,2.0,0.0,0.0
47,0.0010891869332345,0.2352643775786622,0.0,0.05,1052.243447376129,434.7962541623577,0.0,1.0,0.0,0.0,2.0,0.0,0.0
