Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%],Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%]
240516_top_6_V2.2_Urinleft_V_Experiment,22.07394815,18.2320442,6.323841904,3.314917127,77.7312182,84.61538462,29.89174197,21.54696133,0.554624364,0.692307692,22,97.5,115.0613708,24.53116668,9,43.33333333,52.73518749,17.57839583,58,44.77586207,94.36529304,12.39077001,22,33.81818182,41.97463674,8.949022623,0.123565742,3.608125291,43.36765081,240514_top_6_V2.1_Urinright_I_Experiment,9.910752231,5.210369741,5.864853379,2.932426689,62.82327586,63.9874739,16.64126244,8.14279643,0.256465517,0.279749478,10,61.3,46.90427604,14.83243443,9,38.33333333,41.37330057,13.79110019,15,77.73333333,126.1560636,32.57335555,20,34.5,76.21127144,17.04135836,0.161659997,4.061671604,34.86035422
240514_top_18_V2.1_Urinright_V_Experiment,7.777305567,0.44198895,6.374840629,0.883977901,54.95495495,33.33333333,14.39066551,1.325966851,0.099099099,-0.333333333,4,13,13.39153962,6.695769809,3,34.66666667,20.64784089,11.92103649,28,32.67857143,45.19345542,8.54076028,13,57.69230769,63.65975261,17.65603863,0.117995973,3.318158417,45.06897438,240516_top_18_V2.2_Urinleft_I_Experiment,2.600934977,0.6119847,0.4759881,0,84.53038674,100,3.250426506,0.6119847,0.690607735,1,3,24,22.53885534,13.0128142,0,0,0,0,13,23.53846154,24.88846917,6.902819365,5,11.2,9.808159868,4.38634244,0.116443439,3.078118242,44.80123637
240516_top_79_V2.2_Urinleft_V_Experiment,6.306842329,7.301317467,2.048448789,0.280492988,75.48321465,96.30044843,9.62687298,7.581810455,0.509664293,0.926008969,9,95.44444444,154.601998,51.53399932,2,16.5,2.121320344,1.5,40,18.55,33.70456105,5.329159023,16,15.0625,15.92259924,3.980649811,0.182075184,4.602810349,31.38843403,240514_top_79_V2.1_Urinright_I_Experiment,24.17339567,17.79005525,0.798980025,1.011474713,96.80054459,94.62025316,27.5325649,18.80152996,0.936010892,0.892405063,28,74.75,54.63930548,10.32585815,1,0,0,0,75,37.92,94.43670267,10.90461114,9,10.44444444,13.67580995,4.558603317,0.110882757,3.346442023,47.06185125
240514_top_80_V2.1_Urinright_V_Experiment,12.12919677,7.641308967,4.479388015,1.614959626,73.0296827,82.55280073,17.43397573,9.256268593,0.460593654,0.651056015,14,64.21428571,63.77385354,17.0442793,6,31.66666667,39.8380053,16.26379756,43,33.18604651,78.18971307,11.92381946,22,23.95454545,28.01611317,5.973055398,0.120574231,3.165398759,43.42048864,240516_top_80_V2.2_Urinleft_I_Experiment,18.47853804,6.918827029,4.377390565,1.334466638,80.84789885,83.83110196,24.52572054,8.253293668,0.616957977,0.676622039,8,101.75,83.11223049,29.38461089,4,39.25,34.50966048,17.25483024,40,54.35,80.6370628,12.74983911,13,39.61538462,48.94476217,13.57483459,0.106735447,2.941268335,47.71777152
240516_top_82_V2.2_Urinleft_V_Experiment,19.40501487,13.29366766,4.385890353,1.036974076,81.56484459,92.76393832,25.79248065,14.33064173,0.631296892,0.855278766,14,111.7142857,98.51234095,26.32853058,4,30.5,20.43689474,10.21844737,43,53.09302326,104.2720375,15.90133665,19,27.15789474,21.70064812,4.978470113,0.118486082,3.374715471,43.97792913,240514_top_82_V2.1_Urinright_I_Experiment,20.21249469,16.49808755,4.037399065,0.365490863,83.35085875,97.83266129,27.4432474,16.86357841,0.667017175,0.956653226,22,88.22727273,92.5140565,19.72406312,4,10.75,4.856267428,2.428133714,129,18.43410853,34.91436957,3.074038833,12,39.58333333,30.77324202,8.883469781,0.119027929,3.745913379,44.51932099
240514_top_83_V2.1_Urinright_V_Experiment,15.69910752,11.83170421,5.499362516,1.997450064,74.05773857,85.55623848,22.72230321,13.82915427,0.481154771,0.71112477,18,77.33333333,116.9710874,27.57034971,5,47,23.49468025,10.50714043,56,32.98214286,46.45994994,6.20847196,28,23.10714286,36.28726875,6.857649204,0.122822824,3.445384698,43.30125202,240516_top_83_V2.2_Urinleft_I_Experiment,14.45813855,6.264343391,6.910327242,0,67.66109785,100,22.90034615,6.264343391,0.353221957,1,10,73.7,70.72332634,22.36467949,0,0,0,0,41,41.48780488,57.59866403,8.995400041,26,31.26923077,70.33323976,13.79348315,0.118610468,3.169709957,44.21314144
240612_top_63_V2.4_Urinleft_V_Experiment,3.493412665,1.623459414,1.759456014,0.917977051,66.50485437,63.87959866,5.710061905,2.541436464,0.330097087,0.277591973,4,47.75,37.36642878,18.68321439,2,54,33.9411255,24,21,19.57142857,24.35892327,5.315552844,7,29.57142857,28.95892,10.94544294,0.122903547,3.203767935,42.54971163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
