Index,Stimulus investigation DLC [%],Stimulus investigation DEG [%],Control investigation DLC [%],Control investigation DEG [%],Stimulus to total investigation DLC [%],Stimulus to total investigation DEG [%],Total investigation time DLC [%],Total investigation time DEG [%],Discrimination Index DLC,Discrimination Index DEG,Stimulus investigation events DEG,Stimulus investigation average bout length DEG,Stimulus investigation SD bout length DEG,Stimulus investigation SEM bout length DEG,Water investigation events DEG,Water investigation average bout length DEG,Water investigation SD bout length DEG,Water investigation SEM bout length DEG,Stimulus investigation events DLC,Stimulus investigation average bout length DLC,Stimulus investigation SD bout length DLC,Stimulus investigation SEM bout length DLC,Water investigation events DLC,Water investigation average bout length DLC,Water investigation SD bout length DLC,Water investigation SEM bout length DLC,Median speed [km/h],Distance per minute [m],Immobile time [%]
240514_top_18_V2.1_Urinright_V_Habituation,1.8614534636634084,0.0,3.9694007649808754,2.150446238844029,31.924198250728864,0.0,6.042988019732206,2.150446238844029,-0.36151603498542273,-1.0,0.0,0.0,0.0,0.0,5.0,50.6,42.01547334018742,18.78989089909784,13.0,16.846153846153847,10.95328074023299,3.0378934879586317,37.0,12.621621621621621,18.37623971834788,3.0210352001768754,0.1727343509380776,4.208563040281199,33.03723949436283
240514_top_6_V2.1_Urinright_I_Habituation,1.8019549511262218,0.5014874628134297,4.598385040373991,0.9349766255843603,28.15405046480744,34.9112426035503,6.704059829059829,1.4364640883977902,-0.43691899070385126,-0.30177514792899407,3.0,19.666666666666668,5.507570547286102,3.1797973380564857,6.0,18.333333333333332,11.075498483890767,4.521553322083513,8.0,26.5,24.242819260850947,8.571130947213774,28.0,19.321428571428573,18.70047250626764,3.5340571179274956,0.2276687724531481,5.395289319280036,25.11699140644942
240514_top_79_V2.1_Urinright_I_Habituation,5.0318742031449215,0.3654908627284318,1.3089672758181046,0.2634934126646834,79.35656836461126,58.108108108108105,6.631111111111111,0.6289842753931152,0.5871313672922251,0.16216216216216217,3.0,14.333333333333334,13.650396819628847,7.881060278357927,2.0,15.5,12.020815280171307,8.499999999999998,44.0,13.454545454545455,18.061206719393823,2.7228293613306853,12.0,12.833333333333334,10.098004603370756,2.915042838017093,0.1442532810657876,3.993079728386756,38.99429932783119
240514_top_80_V2.1_Urinright_V_Habituation,3.365915852103697,0.5864853378665533,1.4279643008924778,0.46748831279218017,70.2127659574468,55.64516129032258,5.263157894736842,1.0539736506587336,0.40425531914893614,0.11290322580645161,3.0,23.0,13.228756555322953,7.637626158259733,1.0,0.0,0.0,0.0,30.0,13.2,18.72376325274456,3.4184758316381663,10.0,16.8,20.746083967823903,6.56048778674269,0.1475268813699172,3.8228861385846504,35.714285714285715
240514_top_82_V2.1_Urinright_I_Habituation,3.238419039524012,0.9689757756056098,4.513387165320867,0.9009774755631109,41.776315789473685,51.81818181818182,8.145038849691883,1.8699532511687207,-0.16447368421052633,0.03636363636363636,6.0,19.0,16.946976131451887,6.918574034197124,5.0,21.2,17.555625878902752,7.851114570556208,24.0,15.875,17.570510125974046,3.5865653607534496,27.0,19.666666666666668,21.45119684665278,4.128284757951545,0.2041084304547803,5.000399150711598,28.50439382305264
240514_top_83_V2.1_Urinright_V_Habituation,3.5444113897152576,1.4704632384190395,2.524436889077773,0.19549511262218444,58.40336134453782,88.26530612244898,6.4301152737752165,1.665958351041224,0.16806722689075632,0.7653061224489796,8.0,21.625,24.599288607600016,8.697161893399477,2.0,11.5,3.5355339059327378,2.5,24.0,17.375,16.59442677527609,3.38732318111711,19.0,15.631578947368421,17.346823360539368,3.979634211581143,0.16191591800775615,4.373394640234111,34.36490392790342
240516_top_18_V2.2_Urinleft_I_Habituation,1.6744581385465362,0.37399065023374417,0.926476838079048,0.0,64.37908496732027,100.0,2.711323763955343,0.37399065023374417,0.2875816993464052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.90909090909091,9.310795298518226,2.8073104095445505,11.0,9.909090909090908,13.96749473208811,4.211358117054716,0.1986909912675598,4.519529488074134,27.617097517276683
240516_top_6_V2.2_Urinleft_V_Habituation,5.31236719082023,2.031449213769656,3.629409264768381,2.430939226519337,59.4106463878327,45.52380952380952,9.272807404142794,4.462388440288993,0.188212927756654,-0.08952380952380952,5.0,47.8,50.10688575435516,22.408480537510794,5.0,57.2,44.58923636933021,19.940912717325652,15.0,41.666666666666664,38.61100262631785,9.96931801013999,24.0,17.791666666666668,27.7895494380714,5.672518025426828,0.1669479221288212,4.379852064448047,34.81292517006803
240516_top_79_V2.2_Urinleft_V_Habituation,4.929876753081173,3.144921376965576,3.9269018274543135,0.764980875478113,55.66218809980806,80.43478260869566,9.85995457986374,3.909902252443689,0.11324376199616124,0.6086956521739131,6.0,61.666666666666664,39.35310237664455,16.065836769714522,3.0,30.0,12.165525060596439,7.023769168568492,21.0,27.61904761904762,31.99918153715215,6.982793884315862,15.0,30.8,33.622271530298825,8.68123317990074,0.1709128331549571,4.327264009155399,32.801161103047896
240516_top_80_V2.2_Urinleft_I_Habituation,4.300892477688058,0.35699107522311946,4.717382065448364,1.0114747131321717,47.69085768143261,26.08695652173913,9.708116021593924,1.368465788355291,-0.046182846371347785,-0.4782608695652174,1.0,0.0,0.0,0.0,4.0,29.75,28.429737951659,14.2148689758295,22.0,23.0,24.399453545793467,5.201980974648606,19.0,29.210526315789473,26.25426726662929,6.023141992207626,0.1563024165101463,3.9962404335511796,34.73639455782313
