;distance_travelled_center_in_m;speed_in_km/h;is_immobile;immobile_threshold[km/h];is close to edge;distance_nose_left_dish;distance_nose_right_dish;center_is_left_cagehalf;center_is_right_cagehalf;is_investigating_left_dish;is_investigating_right_dish;object_investigation_radius[cm];deg_is_investigating_left_dish;deg_is_investigating_right_dish;asoid_is_investigating_left_dish;asoid_is_investigating_right_dish
0;0.001194749;0.258065814;0;0.1;1;1054.173228;318.9252102;0;1;0;0;2;0;0;0;0
1;0.001188706;0.256760457;0;0.1;1;1058.570985;320.1909693;0;1;0;0;2;0;0;0;0
2;0.000697923;0.150751268;0;0.1;1;1079.055909;336.7292518;0;1;0;0;2;0;0;0;0
3;0.0005264;0.11370244;0;0.1;1;1078.855597;337.2720257;0;1;0;0;2;0;0;0;0
4;0.000764145;0.165055352;0;0.1;1;1079.079577;337.1436039;0;1;0;0;2;0;0;0;0
5;0.000502138;0.108461878;0;0.1;1;1081.474171;338.6089981;0;1;0;0;2;0;0;0;0
6;0.000656183;0.141735588;0;0.1;1;1082.145744;339.6199423;0;1;0;0;2;0;0;0;0
7;0.0006405;0.138347912;0;0.1;1;1082.907999;340.0949019;0;1;0;0;2;0;0;0;0
8;3.86E-05;0.0083457;1;0.1;1;1080.725437;338.7908491;0;1;0;0;2;0;0;0;0
9;0.00034073;0.073597694;1;0.1;1;1083.174283;342.2128708;0;1;0;0;2;0;0;0;0
10;0.000916042;0.197865072;0;0.1;1;;;0;1;;;2;0;0;0;0
11;0.000461247;0.099629374;1;0.1;1;1079.723504;341.6279451;0;1;0;0;2;0;0;0;0
12;0.000466866;0.100843148;0;0.1;1;1081.290127;343.5197369;0;1;0;0;2;0;0;0;0
13;0.000366578;0.079180914;1;0.1;1;;;0;1;;;2;0;0;0;0
14;0.001340252;0.289494442;0;0.1;1;1087.112422;346.1515234;0;1;0;0;2;0;0;0;0
15;0.000557907;0.120507886;0;0.1;1;;;0;1;;;2;0;0;0;0
16;0.00054978;0.118752398;0;0.1;1;;;0;1;;;2;0;0;0;0
17;0.000380981;0.082291801;1;0.1;1;;;0;1;;;2;0;0;0;0
18;0.000702685;0.151780034;0;0.1;1;;;0;1;;;2;0;0;0;0
19;0.00067782;0.146409161;0;0.1;1;;;0;1;;;2;0;0;0;0
20;0.000765359;0.165317451;0;0.1;1;;;0;1;;;2;0;0;0;0
21;0.000347771;0.075118482;1;0.1;1;;;0;1;;;2;0;0;0;0
22;0.000851146;0.183847495;0;0.1;1;;;0;1;;;2;0;0;0;0
23;0.000835512;0.180470497;0;0.1;1;;;0;1;;;2;0;0;0;0
24;0.000327827;0.070810583;1;0.1;1;;;0;1;;;2;0;0;0;0
25;6.04E-05;0.013038253;1;0.1;1;;;0;1;;;2;0;0;0;0
26;0.000849759;0.183547863;0;0.1;1;;;0;1;;;2;0;0;0;0
27;0.001104792;0.238634992;0;0.1;1;;;0;1;;;2;0;0;0;0
28;0.001270973;0.274530163;0;0.1;1;;;0;1;;;2;0;0;0;0
29;0.001022803;0.22092541;0;0.1;1;;;0;1;;;2;0;0;0;0
30;0.000441882;0.095446502;1;0.1;1;;;0;1;;;2;0;0;0;0
31;0.000962096;0.207812631;0;0.1;1;;;0;1;;;2;0;0;0;0
32;0.00026278;0.056760577;1;0.1;1;;;0;1;;;2;0;0;0;0
33;0.000126169;0.027252535;1;0.1;1;;;0;1;;;2;0;0;0;0
34;0.00034707;0.074967221;1;0.1;1;;;0;1;;;2;0;0;0;0
35;0.00046085;0.099543608;1;0.1;1;1086.226537;445.2336632;0;1;0;0;2;0;0;0;0
36;3.38E-05;0.007310604;1;0.1;1;1086.712552;443.454395;0;1;0;0;2;0;0;0;0
37;0.000492081;0.106289551;0;0.1;1;1088.747645;443.4103454;0;1;0;0;2;0;0;0;0
38;0.000785868;0.169747443;0;0.1;1;1089.375389;443.3344909;0;1;0;0;2;0;0;0;0
39;0.000803725;0.173604495;0;0.1;1;1087.997777;446.4725753;0;1;0;0;2;0;0;0;0
40;3.89E-05;0.008407805;1;0.1;1;;;0;1;;;2;0;0;0;0
41;0.001041871;0.225044137;0;0.1;1;;;0;1;;;2;0;0;0;0
42;0.000523871;0.113156073;0;0.1;1;1088.055884;447.2742989;0;1;0;0;2;0;0;0;0
43;0.001583638;0.34206576;0;0.1;1;1089.93082;449.9036361;0;1;0;0;2;0;0;0;0
44;0.000356246;0.076949066;1;0.1;1;1089.017949;449.9786077;0;1;0;0;2;0;0;0;0
45;0.000970226;0.209568901;0;0.1;1;;;0;1;;;2;0;0;0;0
46;0.000816085;0.176274296;0;0.1;1;;;0;1;;;2;0;0;0;0
47;0.000568539;0.122804495;0;0.1;1;;;0;1;;;2;0;0;0;0
48;0.00156617;0.338292661;0;0.1;1;;;0;1;;;2;0;0;0;0
49;0.002939824;0.635002037;0;0.1;1;;;0;1;;;2;0;0;0;0
50;0.00215672;0.465851542;0;0.1;1;;;0;1;;;2;0;0;0;0
51;0.002720895;0.587713343;0;0.1;1;;;0;1;;;2;0;0;0;0
52;0.002026914;0.437813472;0;0.1;1;;;0;1;;;2;0;0;0;0
53;0.001724995;0.372598831;0;0.1;1;;;0;1;;;2;0;0;0;0
54;0.001595114;0.344544631;0;0.1;1;;;0;1;;;2;0;0;0;0
55;0.001889851;0.40820771;0;0.1;1;;;0;1;;;2;0;0;0;0
56;0.000983994;0.212542807;0;0.1;1;;;0;1;;;2;0;0;0;0
57;0.00176661;0.381587785;0;0.1;1;;;0;1;;;2;0;0;0;0
58;0.001846502;0.398844476;0;0.1;1;;;0;1;;;2;0;0;0;0
59;0.001940387;0.41912363;0;0.1;1;1216.233649;551.1702429;0;1;0;0;2;0;0;0;0
60;0.001193975;0.257898507;0;0.1;1;1220.601806;553.4152097;0;1;0;0;2;0;0;0;0
61;0.001033908;0.223324164;0;0.1;1;1226.377919;558.6269517;0;1;0;0;2;0;0;0;0
62;0.000927624;0.200366777;0;0.1;1;1228.620499;560.4817537;0;1;0;0;2;0;0;0;0
63;0.000812875;0.175580948;0;0.1;1;1230.823638;561.8411164;0;1;0;0;2;0;0;0;0
64;0.000792374;0.171152837;0;0.1;1;1233.312522;563.7719227;0;1;0;0;2;0;0;0;0
65;0.001134162;0.244978955;0;0.1;1;1239.424482;567.6825543;0;1;0;0;2;0;0;0;0
66;0.000899319;0.194252866;0;0.1;1;1244.392378;571.561613;0;1;0;0;2;0;0;0;0
67;0.000684271;0.147802489;0;0.1;1;1251.151202;577.7920023;0;1;0;0;2;0;0;0;0
68;0.000440989;0.095253634;1;0.1;1;1253.424555;578.7243971;0;1;0;0;2;0;0;0;0
69;0.001629284;0.351925277;0;0.1;1;;;0;1;;;2;0;0;0;0
70;0.000741073;0.1600717;0;0.1;1;;;0;1;;;2;0;0;0;0
71;0.000916879;0.198045972;0;0.1;1;;;0;1;;;2;0;0;0;0
72;0.000254144;0.054895032;1;0.1;1;;;0;1;;;2;0;0;0;0
73;6.52E-05;0.014087828;1;0.1;1;;;0;1;;;2;0;0;0;0
74;0.000214137;0.046253696;1;0.1;1;;;0;1;;;2;0;0;0;0
75;0.001072074;0.231567901;0;0.1;1;;;0;1;;;2;0;0;0;0
76;0.000441696;0.09540644;1;0.1;1;;;0;1;;;2;0;0;0;0
77;0.000324562;0.070105458;1;0.1;1;;;0;1;;;2;0;0;0;0
78;0.000115749;0.025001759;1;0.1;1;;;0;1;;;2;0;0;0;0
79;0.000198012;0.042770561;1;0.1;1;;;0;1;;;2;0;0;0;0
80;0.000505103;0.109102154;0;0.1;1;1243.30254;574.5024542;0;1;0;0;2;0;0;0;0
81;0.000536156;0.115809761;0;0.1;1;1226.412237;566.6186017;0;1;0;0;2;0;0;0;0
82;0.000434425;0.093835878;1;0.1;1;1210.906196;558.3020564;0;1;0;0;2;0;0;0;0
83;0.000624709;0.134937161;0;0.1;1;1209.605093;558.8146769;0;1;0;0;2;0;0;0;0
84;0.000156974;0.033906481;1;0.1;1;1211.549826;561.3949612;0;1;0;0;2;0;0;0;0
85;8.08E-05;0.017458238;1;0.1;1;1212.770645;562.9321077;0;1;0;0;2;0;0;0;0
86;0.000197204;0.042596167;1;0.1;1;1210.277295;559.1964129;0;1;0;0;2;0;0;0;0
87;0.000384027;0.082949819;1;0.1;1;1211.103988;560.2606645;0;1;0;0;2;0;0;0;0
88;0.000337284;0.072853416;1;0.1;1;1210.796041;561.5810125;0;1;0;0;2;0;0;0;0
89;0.000793774;0.171455084;0;0.1;1;1207.114742;558.9437834;0;1;0;0;2;0;0;0;0
90;2.28E-05;0.00493213;1;0.1;1;;;0;1;;;2;0;0;0;0
91;0.002601814;0.561991921;0;0.1;1;;;0;1;;;2;0;0;0;0
92;0.000463442;0.100103461;0;0.1;1;1177.430531;543.3057206;0;1;0;0;2;0;0;0;0
93;0.000630041;0.136088893;0;0.1;1;;;0;1;;;2;0;0;0;0
94;0.001284144;0.277375162;0;0.1;1;;;0;1;;;2;0;0;0;0
95;0.001351177;0.291854227;0;0.1;1;;;0;1;;;2;0;0;0;0
96;0.002332385;0.503795174;0;0.1;1;1140.647288;515.0650612;0;1;0;0;2;0;0;0;0
97;0.001888644;0.40794721;0;0.1;1;1123.972894;503.1976698;0;1;0;0;2;0;0;0;0
98;0.001179283;0.254725202;0;0.1;1;1107.031638;492.824833;0;1;0;0;2;0;0;0;0
99;0.001081131;0.233524349;0;0.1;1;1096.031728;485.4183239;0;1;0;0;2;0;0;0;0
100;0.001787948;0.386196772;0;0.1;1;1090.975453;482.1360365;0;1;0;0;2;0;0;0;0
101;0.00066843;0.144380964;0;0.1;1;;;0;1;;;2;0;0;0;0
102;0.001161152;0.250808917;0;0.1;1;;;0;1;;;2;0;0;0;0
103;0.001195551;0.258239106;0;0.1;1;;;0;1;;;2;0;0;0;0
104;0.002042812;0.441247402;0;0.1;1;1055.44924;462.3843214;0;1;0;0;2;0;0;0;0
105;0.000283761;0.061292474;1;0.1;1;;;0;1;;;2;0;0;0;0
106;0.003246083;0.701153833;0;0.1;1;1080.400121;372.124943;0;1;0;0;2;0;0;0;0
107;0.000439681;0.094971172;1;0.1;1;1042.403292;457.5277617;0;1;0;0;2;0;0;0;0
108;0.000492308;0.106338541;0;0.1;1;1037.687548;456.0241121;0;1;0;0;2;0;0;0;0
109;0.00099953;0.215898503;0;0.1;1;1029.939698;455.1920579;0;1;0;0;2;0;0;0;0
110;0.000648809;0.140142821;0;0.1;1;1023.116058;450.9758126;0;1;0;0;2;0;0;0;0
111;0.000936988;0.20238936;0;0.1;1;1018.303402;449.4024882;0;1;0;0;2;0;0;0;0
112;0.00076978;0.166272397;0;0.1;1;1009.865763;448.7858692;0;1;0;0;2;0;0;0;0
113;0.001382821;0.298689384;0;0.1;1;1003.740782;446.7254229;0;1;0;0;2;0;0;0;0
114;0.000857858;0.185297293;0;0.1;1;995.4820388;443.0053405;0;1;0;0;2;0;0;0;0
115;0.000895921;0.193519041;0;0.1;1;989.7072326;443.1276532;0;1;0;0;2;0;0;0;0
116;0.000929834;0.200844149;0;0.1;1;984.4018988;442.3505481;0;1;0;0;2;0;0;0;0
117;0.000931212;0.201141817;0;0.1;1;979.8791689;442.3717811;0;1;0;0;2;0;0;0;0
118;0.000418348;0.090363185;1;0.1;1;977.1456;442.1716975;0;1;0;0;2;0;0;0;0
119;0.000887033;0.191599062;0;0.1;1;977.2822328;445.3414641;0;1;0;0;2;0;0;0;0
120;7.89E-05;0.017040795;1;0.1;1;976.1115933;443.8271612;0;1;0;0;2;0;0;0;0
