,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0014650539311091,0.3164516491195757,0.0,0.05,,,0.0,1.0,,,2.0,0,0
1,0.000703152433685,0.1518809256759784,0.0,0.05,1160.7436613420352,363.29858435504434,0.0,1.0,0.0,0.0,2.0,0,0
2,0.0003154682972203,0.068141152199587,0.0,0.05,1165.0062933856104,370.7300504579614,0.0,1.0,0.0,0.0,2.0,0,0
3,0.0007460564617535,0.1611481957387686,0.0,0.05,,,0.0,1.0,,,2.0,0,0
4,0.0008319408844807,0.179699231047852,0.0,0.05,,,0.0,1.0,,,2.0,0,0
5,0.0007323767149083,0.1581933704201961,0.0,0.05,,,0.0,1.0,,,2.0,0,0
6,0.0012299958447966,0.2656791024760785,0.0,0.05,,,0.0,1.0,,,2.0,0,0
7,0.0010022758540108,0.2164915844663385,0.0,0.05,,,0.0,1.0,,,2.0,0,0
8,0.0014341023840223,0.3097661149488293,0.0,0.05,,,0.0,1.0,,,2.0,0,0
9,0.0009164474392413,0.1979526468761397,0.0,0.05,,,0.0,1.0,,,2.0,0,0
10,0.0020932038554658,0.4521320327806305,0.0,0.05,,,0.0,1.0,,,2.0,0,0
11,0.0013979799400154,0.3019636670433421,0.0,0.05,,,0.0,1.0,,,2.0,0,0
12,0.0004543582438516,0.0981413806719538,0.0,0.05,,,0.0,1.0,,,2.0,0,0
13,0.0014200984543467,0.3067412661388877,0.0,0.05,,,0.0,1.0,,,2.0,0,0
14,0.0010459055079651,0.2259155897204772,0.0,0.05,,,0.0,1.0,,,2.0,0,0
15,0.0017104348150521,0.3694539200512648,0.0,0.05,,,0.0,1.0,,,2.0,0,0
16,0.0010484522233996,0.2264656802543179,0.0,0.05,,,0.0,1.0,,,2.0,0,0
17,0.000217976314265,0.0470828838812544,1.0,0.05,,,0.0,1.0,,,2.0,0,0
18,0.0011251574305945,0.243034005008418,0.0,0.05,,,0.0,1.0,,,2.0,0,0
19,0.0007372744489135,0.1592512809653239,0.0,0.05,,,0.0,1.0,,,2.0,0,0
20,0.001113324446316,0.2404780804042715,0.0,0.05,,,0.0,1.0,,,2.0,0,0
21,0.0002492882963131,0.0538462720036361,0.0,0.05,,,0.0,1.0,,,2.0,0,0
22,0.0008468979739031,0.1829299623630911,0.0,0.05,,,0.0,1.0,,,2.0,0,0
23,0.0005439687286759,0.1174972453940095,0.0,0.05,,,0.0,1.0,,,2.0,0,0
24,0.0003387277051775,0.0731651843183496,0.0,0.05,,,0.0,1.0,,,2.0,0,0
25,0.0005060270001115,0.1093018320241049,0.0,0.05,,,0.0,1.0,,,2.0,0,0
26,0.0007934655796636,0.17138856520734,0.0,0.05,,,0.0,1.0,,,2.0,0,0
27,0.0011218514300822,0.2423199088977656,0.0,0.05,,,0.0,1.0,,,2.0,0,0
28,0.0027113638217257,0.5856545854927702,0.0,0.05,,,0.0,1.0,,,2.0,0,0
29,0.0019172664624747,0.4141295558945559,0.0,0.05,,,0.0,1.0,,,2.0,0,0
30,0.0009861765430617,0.2130141333013312,0.0,0.05,,,0.0,1.0,,,2.0,0,0
31,0.0004997591848533,0.1079479839283335,0.0,0.05,,,0.0,1.0,,,2.0,0,0
32,0.0007402151126696,0.1598864643366376,0.0,0.05,1106.0081937971568,303.1959875608411,0.0,1.0,0.0,0.0,2.0,0,0
33,0.0008515249868871,0.183929397167631,0.0,0.05,1097.6531566719252,293.3636966903132,0.0,1.0,0.0,0.0,2.0,0,0
34,0.0010094381287879,0.2180386358181925,0.0,0.05,1090.0991477649256,282.8101073013696,0.0,1.0,0.0,0.0,2.0,0,0
35,0.0006112550811526,0.132031097528981,0.0,0.05,1082.862382896081,274.1627206259783,0.0,1.0,0.0,0.0,2.0,0,0
36,0.000734205274453,0.1585883392818594,0.0,0.05,1067.6555118986594,255.25306533192904,0.0,1.0,0.0,0.0,2.0,0,0
37,0.0004271521942651,0.0922648739612655,0.0,0.05,1067.3295332151292,254.22088326225563,0.0,1.0,0.0,0.0,2.0,0,0
38,0.001239309173133,0.26769078139673,0.0,0.05,1068.8837638641148,256.7411596030292,0.0,1.0,0.0,0.0,2.0,0,0
39,0.0008996850453648,0.1943319697988093,0.0,0.05,1068.8279373546477,256.9465747206032,0.0,1.0,0.0,0.0,2.0,0,0
40,0.0003765187830302,0.0813280571345254,0.0,0.05,1063.272456342367,250.6289580950903,0.0,1.0,0.0,0.0,2.0,0,0
41,7.616446858393894e-05,0.0164515252141308,1.0,0.05,1050.943029137184,234.68577439811733,0.0,1.0,0.0,0.0,2.0,0,0
42,0.0008433891970636,0.1821720665657493,0.0,0.05,1034.5121236331215,216.05371829470545,0.0,1.0,0.0,0.0,2.0,0,0
43,0.001448727356488,0.3129251090014228,0.0,0.05,1029.5143765708783,211.45294316863504,0.0,1.0,0.0,0.0,2.0,0,0
44,0.0010674873811197,0.2305772743218681,0.0,0.05,1024.0579988706072,205.77338076226317,0.0,1.0,0.0,0.0,2.0,0,0
45,,,,0.05,1019.5777058318686,201.159496091108,0.0,1.0,0.0,0.0,2.0,0,0
46,,,,0.05,1007.5481612244848,189.1062776019183,,,0.0,0.0,2.0,0,0
47,,,,0.05,998.8748061552524,180.0945094215606,,,0.0,0.0,2.0,0,0
48,,,,0.05,991.4837576875444,171.71629365210055,,,0.0,0.0,2.0,0,0
49,0.0009309748960894,0.2010905775553218,0.0,0.05,987.1388507843536,166.782630595375,0.0,1.0,0.0,0.0,2.0,0,0
50,0.0005310042871658,0.114696926027817,0.0,0.05,,,0.0,1.0,,,2.0,0,0
51,0.001082312311166,0.2337794592118564,0.0,0.05,,,0.0,1.0,,,2.0,0,0
52,0.0008031022937019,0.1734700954396304,0.0,0.05,,,0.0,1.0,,,2.0,0,0
53,0.0003241540212616,0.0700172685925253,0.0,0.05,,,0.0,1.0,,,2.0,0,0
54,0.0003702745751323,0.0799793082285899,0.0,0.05,,,0.0,1.0,,,2.0,0,0
55,0.0011263098021641,0.2432829172674567,0.0,0.05,,,0.0,1.0,,,2.0,0,0
56,0.0002409622691738,0.0520478501415561,0.0,0.05,,,0.0,1.0,,,2.0,0,0
57,0.0004212370021703,0.0909871924688059,0.0,0.05,,,0.0,1.0,,,2.0,0,0
58,0.0004311232768674,0.0931226278033766,0.0,0.05,,,0.0,1.0,,,2.0,0,0
59,0.0001372422478822,0.0296443255425664,1.0,0.05,,,0.0,1.0,,,2.0,0,0
60,0.000325875374253,0.0703890808386632,0.0,0.05,,,0.0,1.0,,,2.0,0,0
61,0.0002609101990089,0.0563566029859333,0.0,0.05,973.0179574215056,151.30624214252794,0.0,1.0,0.0,0.0,2.0,0,0
62,0.0004236062883087,0.091498958274696,0.0,0.05,,,0.0,1.0,,,2.0,0,0
