,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm],deg_is_investigating_left_dish,deg_is_investigating_right_dish
0,0.0011398956370271,0.2462174575978743,0.0,0.05,801.1480796973649,455.7044990020214,0.0,1.0,0.0,0.0,2.0,0,0
1,0.0009788335983396,0.2114280572413673,0.0,0.05,805.7375639914558,442.7662082419208,0.0,1.0,0.0,0.0,2.0,0,0
2,0.0010086132329824,0.2178604583242158,0.0,0.05,807.2597294728221,434.4738116527902,0.0,1.0,0.0,0.0,2.0,0,0
3,0.0007336981699405,0.158478804707162,0.0,0.05,809.9821221221193,428.577062526817,0.0,1.0,0.0,0.0,2.0,0,0
4,0.0010493331967653,0.2266559705013252,0.0,0.05,810.7818030618314,419.6533014859333,0.0,1.0,0.0,0.0,2.0,0,0
5,0.0011705793839131,0.2528451469252354,0.0,0.05,814.3299016622718,405.34310478907736,0.0,1.0,0.0,0.0,2.0,0,0
6,0.0004498774908559,0.0971735380248828,0.0,0.05,819.7870816549434,392.6612297293033,0.0,1.0,0.0,0.0,2.0,0,0
7,0.0006124622689605,0.1322918500954834,0.0,0.05,823.8000868464594,375.6054124508484,0.0,1.0,0.0,0.0,2.0,0,0
8,0.0005925424539946,0.1279891700628483,0.0,0.05,,,0.0,1.0,,,2.0,0,0
9,0.0011477514764502,0.2479143189132616,0.0,0.05,833.7885084128421,365.6506427887289,0.0,1.0,0.0,0.0,2.0,0,0
10,0.0007847550897987,0.1695070993965286,0.0,0.05,834.2782385669649,363.50590172726834,0.0,1.0,0.0,0.0,2.0,0,0
11,0.0007928439729221,0.1712542981511929,0.0,0.05,831.5980020275549,363.8294035696803,0.0,1.0,0.0,0.0,2.0,0,0
12,0.0002666268819954,0.0575914065110078,0.0,0.05,,,0.0,1.0,,,2.0,0,0
13,0.0004705261342727,0.1016336450029186,0.0,0.05,827.2690847416279,358.90159358432163,0.0,1.0,0.0,0.0,2.0,0,0
14,0.0007459013555102,0.1611146927902197,0.0,0.05,825.6909270342603,356.6862827644265,0.0,1.0,0.0,0.0,2.0,0,0
15,0.0002761052982089,0.0596387444131426,0.0,0.05,823.2171855608166,357.75185940327674,0.0,1.0,0.0,0.0,2.0,0,0
16,0.0003991880154888,0.086224611345601,0.0,0.05,820.6437857154601,359.83316239139833,0.0,1.0,0.0,0.0,2.0,0,0
17,0.0003552228573257,0.0767281371823521,0.0,0.05,819.0491474762091,361.5781051632151,0.0,1.0,0.0,0.0,2.0,0,0
18,0.0011176892813991,0.2414208847822077,0.0,0.05,819.185207294194,363.0122514999276,0.0,1.0,0.0,0.0,2.0,0,0
19,0.0016724199389819,0.3612427068201064,0.0,0.05,819.3282639156735,361.05769471772646,0.0,1.0,0.0,0.0,2.0,0,0
20,0.0018416950421727,0.3978061291093142,0.0,0.05,819.3488710688632,359.5072361058025,0.0,1.0,0.0,0.0,2.0,0,0
21,0.0008159350710088,0.1762419753379192,0.0,0.05,823.9877732191766,358.6300182436281,0.0,1.0,0.0,0.0,2.0,0,0
22,0.0015324628257956,0.331011970371853,0.0,0.05,830.0694793767241,355.3617337451643,0.0,1.0,0.0,0.0,2.0,0,0
23,0.0018387051576969,0.3971603140625413,0.0,0.05,836.4818855354772,352.036227480705,0.0,1.0,0.0,0.0,2.0,0,0
24,0.0006192323437134,0.1337541862421127,0.0,0.05,841.7256243548802,351.6485053645276,0.0,1.0,0.0,0.0,2.0,0,0
25,0.0008248664606413,0.1781711554985386,0.0,0.05,848.1251254559459,349.98683017812897,0.0,1.0,0.0,0.0,2.0,0,0
