time,leftsniffing,other,rightsniffing
0.0,0,1,0
0.03,0,1,0
0.07,0,1,0
0.1,0,1,0
0.13,0,1,0
0.17,0,1,0
0.2,0,1,0
0.23,0,1,0
0.27,0,1,0
0.3,0,1,0
0.33,0,1,0
0.37,0,1,0
0.4,0,1,0
0.43,0,1,0
0.47,0,1,0
0.5,0,1,0
0.53,0,1,0
0.57,0,1,0
0.6,0,1,0
0.63,0,1,0
0.67,0,1,0
0.7,0,1,0
0.73,0,1,0
0.77,0,1,0
0.8,0,1,0
0.83,0,1,0
0.87,0,1,0
0.9,0,1,0
0.93,0,1,0
0.97,0,1,0
1.0,0,1,0
1.03,0,1,0
1.07,0,1,0
1.1,0,1,0
1.13,0,1,0
1.17,0,1,0
1.2,0,1,0
1.23,0,1,0
1.27,0,1,0
1.3,0,1,0
1.33,0,1,0
1.37,0,1,0
1.4,0,1,0
1.43,0,1,0
1.47,0,1,0
1.5,0,1,0
1.53,0,1,0
1.57,0,1,0
1.6,0,1,0
1.63,0,1,0
1.67,0,1,0
1.7,0,1,0
1.73,0,1,0
1.77,0,1,0
1.8,0,1,0
1.83,0,1,0
1.87,0,1,0
1.9,0,1,0
1.93,0,1,0
1.97,0,1,0
2.0,0,1,0
2.03,0,1,0
2.07,0,1,0
2.1,0,1,0
2.13,0,1,0
2.17,0,1,0
2.2,0,1,0
2.23,0,1,0
2.27,0,1,0
2.3,0,1,0
2.33,0,1,0
2.37,0,1,0
2.4,0,1,0
2.43,0,1,0
2.47,0,1,0
2.5,0,1,0
2.53,0,1,0
2.57,0,1,0
2.6,0,1,0
2.63,0,1,0
2.67,0,1,0
2.7,0,1,0
2.73,0,1,0
2.77,0,1,0
2.8,0,1,0
2.83,0,1,0
2.87,0,1,0
2.9,0,1,0
2.93,0,1,0
2.97,0,1,0
3.0,0,1,0
3.03,0,1,0
3.07,0,1,0
3.1,0,1,0
3.13,0,1,0
3.17,0,1,0
3.2,0,1,0
3.23,0,1,0
3.27,0,1,0
3.3,0,1,0
3.33,0,1,0
3.37,0,1,0
3.4,0,1,0
3.43,0,1,0
3.47,0,1,0
3.5,0,1,0
3.53,0,1,0
3.57,0,1,0
3.6,0,1,0
3.63,0,1,0
3.67,0,1,0
3.7,0,1,0
3.73,0,1,0
3.77,0,1,0
3.8,0,1,0
3.83,0,1,0
3.87,0,1,0
3.9,0,1,0
3.93,0,1,0
3.97,0,1,0
4.0,0,1,0
4.03,0,1,0
4.07,0,1,0
4.1,0,1,0
4.13,0,1,0
4.17,0,1,0
4.2,0,1,0
4.23,0,1,0
4.27,0,1,0
4.3,0,1,0
4.33,0,1,0
4.37,0,1,0
4.4,0,1,0
4.43,0,1,0
4.47,0,1,0
4.5,0,1,0
4.53,0,1,0
4.57,0,1,0
4.6,0,1,0
4.63,0,1,0
4.67,0,1,0
4.7,0,1,0
4.73,0,1,0
4.77,0,1,0
4.8,0,1,0
4.83,0,1,0
4.87,0,1,0
4.9,0,1,0
4.93,0,1,0
4.97,0,1,0
5.0,0,1,0
5.03,0,1,0
5.07,0,1,0
5.1,0,1,0
5.13,0,1,0
5.17,0,1,0
5.2,0,1,0
5.23,0,1,0
5.27,0,1,0
5.3,0,1,0
5.33,0,1,0
5.37,0,1,0
5.4,0,1,0
5.43,0,1,0
5.47,0,1,0
5.5,0,1,0
5.53,0,1,0
5.57,0,1,0
5.6,0,1,0
5.63,0,1,0
5.67,0,1,0
5.7,0,1,0
5.73,0,1,0
5.77,0,1,0
5.8,0,1,0
5.83,0,1,0
5.87,0,1,0
5.9,0,1,0
5.93,0,1,0
5.97,0,1,0
6.0,0,1,0
6.03,0,1,0
6.07,0,1,0
6.1,0,1,0
6.13,0,1,0
6.17,0,1,0
6.2,0,1,0
6.23,0,1,0
6.27,0,1,0
6.3,0,1,0
6.33,0,1,0
6.37,0,1,0
6.4,0,1,0
6.43,0,1,0
6.47,0,1,0
6.5,0,1,0
6.53,0,1,0
6.57,0,1,0
6.6,0,1,0
6.63,0,1,0
6.67,0,1,0
6.7,0,1,0
6.73,0,1,0
6.77,0,1,0
6.8,0,1,0
6.83,0,1,0
6.87,0,1,0
6.9,0,1,0
6.93,0,1,0
6.97,0,1,0
7.0,0,1,0
7.03,0,1,0
7.07,0,1,0
7.1,0,1,0
7.13,0,1,0
7.17,0,1,0
7.2,0,1,0
7.23,0,1,0
7.27,0,1,0
7.3,0,1,0
7.33,0,1,0
7.37,0,1,0
7.4,0,1,0
7.43,0,1,0
7.47,0,1,0
7.5,0,1,0
7.53,0,1,0
7.57,0,1,0
7.6,0,1,0
7.63,0,1,0
7.67,0,1,0
7.7,0,1,0
7.73,0,1,0
7.77,0,1,0
7.8,0,1,0
7.83,0,1,0
7.87,0,1,0
7.9,0,1,0
7.93,0,1,0
7.97,0,1,0
8.0,0,1,0
8.03,0,1,0
8.07,0,1,0
8.1,0,1,0
8.13,0,1,0
8.17,0,1,0
8.2,0,1,0
8.23,0,1,0
8.27,0,1,0
8.3,0,1,0
8.33,0,1,0
8.37,0,1,0
8.4,0,1,0
8.43,0,1,0
8.47,0,1,0
8.5,0,1,0
8.53,0,1,0
8.57,0,1,0
8.6,0,1,0
8.63,0,1,0
8.67,0,1,0
8.7,0,1,0
8.73,0,1,0
8.77,0,1,0
8.8,0,1,0
8.83,0,1,0
8.87,0,1,0
8.9,0,1,0
8.93,0,1,0
8.97,0,1,0
9.0,0,1,0
9.03,0,1,0
9.07,0,1,0
9.1,0,1,0
9.13,0,1,0
9.17,0,1,0
9.2,0,1,0
9.23,0,1,0
9.27,0,1,0
9.3,0,1,0
9.33,0,1,0
