,distance_travelled_center_in_m,speed_in_km/h,is_immobile,immobile_threshold[km/h],distance_nose_left_dish,distance_nose_right_dish,center_is_left_cagehalf,center_is_right_cagehalf,is_investigating_left_dish,is_investigating_right_dish,object_investigation_radius[cm]
0,,,,0.1,,,,,,,2.0
1,,,,0.1,780.071012859368,50.29190023916756,,,0.0,1.0,2.0
2,,,,0.1,780.7728100716714,49.304122468416864,,,0.0,1.0,2.0
3,,,,0.1,781.7163075810564,49.73489328082741,,,0.0,1.0,2.0
4,,,,0.1,781.4444604490021,50.67675245168601,,,0.0,1.0,2.0
5,,,,0.1,780.6246285082722,51.40390064137954,,,0.0,1.0,2.0
6,,,,0.1,778.4847893020052,49.653262167311446,,,0.0,1.0,2.0
7,,,,0.1,778.9777788357766,48.60313752808916,,,0.0,1.0,2.0
8,,,,0.1,779.2375864261401,48.0529547336926,,,0.0,1.0,2.0
9,,,,0.1,783.6217239987393,51.175754415245756,0.0,1.0,0.0,1.0,2.0
10,,,,0.1,784.1431120196855,50.6967051664975,,,0.0,1.0,2.0
11,,,,0.1,785.450136636041,48.987651856801016,,,0.0,1.0,2.0
12,0.0006537622932034818,0.14121265533195207,0.0,0.1,788.8749485291563,44.50184396910784,0.0,1.0,0.0,1.0,2.0
13,0.001299428011990863,0.28067645059002644,0.0,0.1,789.4466268095975,40.92920203197707,0.0,1.0,0.0,1.0,2.0
14,,,,0.1,791.6779797575924,37.57204066134492,0.0,1.0,0.0,1.0,2.0
15,,,,0.1,790.7059688387883,34.171652664358255,,,0.0,1.0,2.0
16,,,,0.1,791.0730739685339,30.612021416593457,,,0.0,1.0,2.0
17,,,,0.1,789.8466172169583,27.77959046600603,,,0.0,1.0,2.0
18,,,,0.1,786.7535609596421,24.28836885199841,,,0.0,1.0,2.0
19,,,,0.1,785.3106931472452,24.944193663581714,,,0.0,1.0,2.0
20,,,,0.1,782.8226108710992,24.170702018092296,,,0.0,1.0,2.0
21,,,,0.1,782.2453818135307,19.194058335770656,,,0.0,1.0,2.0
22,,,,0.1,783.1156932053098,15.894905287025296,,,0.0,1.0,2.0
23,,,,0.1,784.509674040217,12.916932531490007,,,0.0,1.0,2.0
24,,,,0.1,787.1799654512025,9.859937865827584,,,0.0,1.0,2.0
25,,,,0.1,786.568475506464,8.692040059843057,,,0.0,1.0,2.0
26,,,,0.1,786.0518547045189,7.62095551729585,,,0.0,1.0,2.0
27,,,,0.1,784.8021572361446,8.231024406081772,,,0.0,1.0,2.0
28,,,,0.1,785.7799947872958,7.029436861018524,,,0.0,1.0,2.0
29,,,,0.1,783.7786147713867,9.036625586380946,,,0.0,1.0,2.0
30,,,,0.1,782.1452302898061,11.033623751339082,,,0.0,1.0,2.0
31,,,,0.1,782.9985328688628,10.96938175572006,,,0.0,1.0,2.0
32,,,,0.1,784.1757515172671,10.20203728741727,,,0.0,1.0,2.0
33,,,,0.1,783.798580473349,12.295159654082973,,,0.0,1.0,2.0
34,,,,0.1,782.7316980606957,14.228191275293545,,,0.0,1.0,2.0
35,,,,0.1,782.4521753507591,17.635227276755316,,,0.0,1.0,2.0
36,,,,0.1,782.1443035063182,20.47822707395409,,,0.0,1.0,2.0
37,,,,0.1,781.8836102330218,22.800712088084126,,,0.0,1.0,2.0
38,,,,0.1,777.2056683238119,28.670824191199582,,,0.0,1.0,2.0
39,,,,0.1,775.5005042776339,30.228444183574762,,,0.0,1.0,2.0
40,,,,0.1,773.8419646848823,31.8359751429072,,,0.0,1.0,2.0
41,,,,0.1,767.7630167816461,37.503323742475246,,,0.0,1.0,2.0
42,,,,0.1,773.2349156363804,36.04423359038326,,,0.0,1.0,2.0
43,,,,0.1,772.4359109746126,36.27811791703083,,,0.0,1.0,2.0
44,,,,0.1,,,,,,,2.0
45,,,,0.1,768.2007659205051,35.250854396653295,,,0.0,1.0,2.0
46,,,,0.1,756.0493681837356,44.28575429309,,,0.0,1.0,2.0
47,,,,0.1,753.9452614244635,46.08841101938685,,,0.0,1.0,2.0
48,,,,0.1,753.6515267143019,46.43710047648992,,,0.0,1.0,2.0
49,,,,0.1,756.0893998908865,45.00989846238712,,,0.0,1.0,2.0
50,,,,0.1,755.7478544701452,45.04971061105137,,,0.0,1.0,2.0
51,,,,0.1,756.0035513485177,45.337210704262326,,,0.0,1.0,2.0
52,,,,0.1,754.5020686141819,47.36944836156484,,,0.0,1.0,2.0
53,,,,0.1,753.1773611408408,50.55771883145841,,,0.0,1.0,2.0
54,,,,0.1,751.7967899050125,52.72063041326291,,,0.0,1.0,2.0
55,,,,0.1,751.7439968296719,52.77746072652018,,,0.0,1.0,2.0
56,,,,0.1,749.2699144288596,54.70145070173174,,,0.0,1.0,2.0
