;;total inv time %;V;I;;Dic index;V;I
240516_side_6_V2.2_Urinleft_V_Experiment;76.66486194;;10.46577516;6.547484134;;;0.533297239;0.01254868
240516_side_79_V2.2_Urinleft_V_Experiment;90.14962594;;4.544424297;8.037737987;;;0.802992519;0.897074374
240516_side_82_V2.2_Urinleft_V_Experiment;82.22297757;;8.335222121;7.737420671;;;0.644459551;0.72830465
240514_side_18_V2.1_Urinright_V_Experiment;15.27093596;;1.150271985;1.099274705;;;-0.694581281;-0.628865979
240514_side_80_V2.1_Urinright_V_Experiment;69.6193265;;3.870126927;3.275158658;;;0.39238653;0.638408304
240514_side_83_V2.1_Urinright_V_Experiment;77.43813683;;5.839188577;3.422484134;;;0.548762737;0.947019868
240612_side_63_V2.4_Urinleft_V_Experiment;56.25;;1.042611061;1.663077969;;;0.125;-0.546848382
240612_side_65_V2.4_Urinleft_V_Experiment;67.34279919;;1.39675884;3.20149592;;;0.346855984;0.207079646
240612_side_67_V2.4_Urinleft_V_Experiment;77.96143251;;1.02844515;0.66013146;;;0.55922865;0.124463519
240610_side_64_V2.3_Urinright_V_Experiment;89.11055694;;10.22495467;6.196169538;;;0.782211139;0.812528578
240610_side_66_V2.3_Urinright_V_Experiment;59.09090909;;0.747960109;1.450589302;;;0.181818182;0.16015625
240610_side_68_V2.3_Urinright_V_Experiment;67.31601732;;1.30893019;1.643245694;;;0.346320346;-0.137931034
240627_side_69_V2.6_Urinright_V_Experiment;29.09407666;;1.6262466;0.668631006;;;-0.418118467;0.033898305
240627_side_71_V2.6_Urinright_V_Experiment;31.63965087;;9.088848595;5.026065277;;;-0.367206983;0.792559188
240627_side_72_V2.6_Urinright_V_Experiment;52.50716332;;7.910244787;1.84156845;;;0.050143266;0.627692308
240627_side_74_V2.6_Urinright_V_Experiment;75.89098532;;1.351427924;5.921350861;;;0.517819706;0.755023923
240624_side_70_V2.5_Urinleft_V_Experiment;37.14609287;;2.501699909;1.221101541;;;-0.257078143;0.47099768
240624_side_73_V2.5_Urinleft_V_Experiment;81.60535117;;3.388485947;4.714415231;;;0.632107023;0.759615385
