Index;Stimulus to total investigation DLC [%];Total investigation time DLC [%];Discrimination Index DLC;Stimulus to total investigation DEG [%];Total investigation time DEG [%];Discrimination Index DEG;Median speed [km/h];Distance per recording [m];Immobile time [%]
240220_top_1_V1_Experiment_Urinright;74.13073713;8.148232094;0.482614743;74.29123711;13.19129646;0.485824742;0.109320543;57.34719771;39.99036718
240220_top_2_V1_Experiment_Urinright;67.15135492;4.286604714;0.343027098;53.0882796;9.403331822;0.061765592;0.113525429;58.73209741;40.2906845
240220_top_104_V1_Experiment_Urinright;70.55837563;8.37205349;0.411167513;71.03580563;8.862194016;0.420716113;0.105403393;61.292165;43.68200363
240220_top_105_V1_Experiment_Urinright;85.32258065;3.513145966;0.706451613;81.27421438;6.581482321;0.625484288;0.166765957;71.57620065;24.91783772
240220_top_117_V1_Experiment_Urinright;65.58388158;6.890299184;0.311677632;63.3973361;16.37862647;0.267946722;0.117109223;67.62236198;39.0469175
240220_top_95_V1_Experiment_Urinright;45.1066961;3.850294651;-0.097866078;59.7977244;2.241047144;0.195954488;0.107829364;55.71860465;39.5568903
240222_top_104_V1.2_Experiment_Urinleft;76;3.187330009;0.52;87.47283146;14.33873527;0.749456629;0.127103282;65.80217818;32.80541704
240222_top_105_V1.2_Experiment_Urinleft;49.97688396;6.128173164;-0.000462321;45.20783976;13.1544651;-0.095843205;0.150712174;76.75206023;31.32082956
240222_top_117_V1.2_Experiment_Urinleft;47.59825328;3.892792384;-0.048034934;58.67602808;5.649365367;0.173520562;0.152044507;72.34875624;27.85018132
240222_top_1_V1.2_Experiment_Urinleft;56.50780937;7.074456029;0.130156187;62.25225225;15.72416138;0.245045045;0.12655458;68.21308937;36.862534
240222_top_2_V1.2_Experiment_Urinleft;55.27577938;2.36287398;0.105515588;62.30505896;7.448436083;0.246101179;0.13032926;65.55645014;35.91625113
240222_top_95_V1.2_Experiment_Urinleft;33.01369863;2.068223028;-0.339726027;48.30614806;2.258046238;-0.033877039;0.094856087;49.15928193;41.74977335
