,distance_nose_leftdish,distance_nose_rightdish,is_investigating_leftdish,is_investigating_rightdish,petridish_investigation_radius[cm]
0,929.0373904629654,190.57560833601596,0.0,0.0,2.2
1,927.390333625322,188.80710688813815,0.0,0.0,2.2
2,927.0907240702162,188.5485609818817,0.0,0.0,2.2
3,927.9050787722847,189.49674994722164,0.0,0.0,2.2
4,928.1717222302516,189.78019636037138,0.0,0.0,2.2
5,929.2746298384525,190.94061579003846,0.0,0.0,2.2
6,932.3305099687179,194.06306032593815,0.0,0.0,2.2
7,932.415676688189,194.16934739015255,0.0,0.0,2.2
8,932.2725787559436,194.02799904797644,0.0,0.0,2.2
9,936.025490958402,197.78491787052945,0.0,0.0,2.2
10,936.6511594682042,198.46715025670196,0.0,0.0,2.2
11,937.2310744180238,199.04862327524344,0.0,0.0,2.2
12,942.0007815601724,203.91541160270975,0.0,0.0,2.2
13,943.2114780342617,205.26940881472524,0.0,0.0,2.2
14,941.2374009132986,203.61232680433227,0.0,0.0,2.2
15,941.9363312067807,204.60270749040137,0.0,0.0,2.2
16,942.1688015573484,205.2263007067124,0.0,0.0,2.2
17,944.0382282824228,207.30190888418403,0.0,0.0,2.2
18,947.1669656454742,210.48976707493347,0.0,0.0,2.2
19,946.1942649061289,209.8759612004411,0.0,0.0,2.2
20,941.3811602880679,205.52901464217368,0.0,0.0,2.2
21,939.0513729997859,203.81410919008655,0.0,0.0,2.2
22,935.738464178056,200.96469633184617,0.0,0.0,2.2
23,932.0394340827407,197.7882282292166,0.0,0.0,2.2
24,931.4488573921765,197.73029389124326,0.0,0.0,2.2
25,931.5593266386784,197.81169511487602,0.0,0.0,2.2
26,934.7024987475147,201.13331725983656,0.0,0.0,2.2
27,934.7321763814581,201.5228573700111,0.0,0.0,2.2
28,925.1327447746368,191.37797961548839,0.0,0.0,2.2
29,911.3614191849377,178.31990526059874,0.0,0.0,2.2
30,907.1409806687581,175.36712119067914,0.0,0.0,2.2
31,902.6416452417164,172.8982360807407,0.0,0.0,2.2
32,899.2810297714983,172.78506262237931,0.0,0.0,2.2
33,896.4246565605005,171.1238743057192,0.0,0.0,2.2
34,895.5872335516052,172.49373059394807,0.0,0.0,2.2
35,896.7823619189201,174.5203960630137,0.0,0.0,2.2
36,898.5148222091664,176.0115948416001,0.0,0.0,2.2
37,908.4111012108132,185.64186431402902,0.0,0.0,2.2
38,913.2273969800265,190.38458710862304,0.0,0.0,2.2
39,917.4295828448663,194.7756531399526,0.0,0.0,2.2
40,920.0455837846044,196.64193950179808,0.0,0.0,2.2
41,920.4213140415055,196.69155307163186,0.0,0.0,2.2
42,925.2587319884143,200.24311292830623,0.0,0.0,2.2
43,926.9887722708182,201.8447702957591,0.0,0.0,2.2
44,925.7095503146838,200.88404653056148,0.0,0.0,2.2
45,929.5170819203134,204.8285420677475,0.0,0.0,2.2
46,926.1953922607116,199.9311709712485,0.0,0.0,2.2
47,918.9389137563578,192.48418840105413,0.0,0.0,2.2
48,909.0864330844627,178.37616614319637,0.0,0.0,2.2
49,887.162616369119,150.17953869597403,0.0,0.0,2.2
50,858.6174221913724,120.40980796319629,0.0,0.0,2.2
51,844.7655980873619,106.1804539279202,0.0,0.0,2.2
52,832.8830546263823,94.5916148683727,0.0,0.0,2.2
53,824.6686688814411,86.73558305068886,0.0,0.0,2.2
54,803.3563948766088,67.89708343137116,0.0,1.0,2.2
55,793.1860677963832,58.16890760420691,0.0,1.0,2.2
56,785.833635428641,50.88496693191473,0.0,1.0,2.2
57,788.5790748778157,53.0659911735119,0.0,1.0,2.2
58,,,0.0,0.0,2.2
59,,,0.0,0.0,2.2
60,,,0.0,0.0,2.2
61,,,0.0,0.0,2.2
62,,,0.0,0.0,2.2
63,,,0.0,0.0,2.2
64,763.7435392494218,82.8886704397807,0.0,0.0,2.2
65,755.4946186961921,106.38130584606088,0.0,0.0,2.2
66,746.7498998516211,124.83621743262616,0.0,0.0,2.2
67,736.9232501053723,121.64675258640715,0.0,0.0,2.2
68,725.0948994934338,123.28724966329325,0.0,0.0,2.2
69,719.0674313688037,122.66484734018582,0.0,0.0,2.2
70,711.4648987830745,115.49136400359804,0.0,0.0,2.2
71,707.5749318203651,105.83607317664554,0.0,0.0,2.2
72,703.8311107579605,94.2065460599923,0.0,0.0,2.2
73,709.4715194900185,75.98746730743262,0.0,1.0,2.2
74,715.4342699811164,51.03210391038583,0.0,1.0,2.2
75,717.4133178276259,39.06029840311459,0.0,1.0,2.2
76,716.18493073109,31.376285373303467,0.0,1.0,2.2
77,716.7468146502923,26.943227174122796,0.0,1.0,2.2
78,716.833052627491,23.365214034615892,0.0,1.0,2.2
79,713.7716471420213,24.839747581829677,0.0,1.0,2.2
80,710.4359561907697,28.30763192758273,0.0,1.0,2.2
81,707.3229836140168,31.308218246368924,0.0,1.0,2.2
82,705.2690104198136,33.384520062752124,0.0,1.0,2.2
83,710.2998100008809,28.3791513077328,0.0,1.0,2.2
84,722.7970173878402,16.112097615088743,0.0,1.0,2.2
85,728.5595489933967,12.435888965419476,0.0,1.0,2.2
86,733.6109279048582,8.80353926302415,0.0,1.0,2.2
87,738.4713751006956,6.637288232757186,0.0,1.0,2.2
88,739.4749419309964,8.966196001618641,0.0,1.0,2.2
89,740.784025620099,10.73092654574028,0.0,1.0,2.2
90,742.6515706166156,13.843677118531488,0.0,1.0,2.2
91,745.2271103376643,20.2850650415807,0.0,1.0,2.2
92,743.7010627707756,23.676515208862142,0.0,1.0,2.2
93,740.3359651784484,24.021471051625646,0.0,1.0,2.2
94,741.6085656743222,23.79636155825062,0.0,1.0,2.2
95,744.9081332789333,23.52223272731969,0.0,1.0,2.2
96,745.1474745735886,24.037511307819837,0.0,1.0,2.2
97,745.9226290971083,21.50653206630029,0.0,1.0,2.2
98,743.8771424662124,18.919947061062174,0.0,1.0,2.2
99,743.8817576321577,20.73826516354329,0.0,1.0,2.2
100,745.5518193847603,22.073450434339986,0.0,1.0,2.2
101,746.6010914109697,24.06804090649973,0.0,1.0,2.2
102,750.575198824737,28.5836290869806,0.0,1.0,2.2
103,752.4127892357511,33.888239686017364,0.0,1.0,2.2
104,754.5042079800279,34.21983997321497,0.0,1.0,2.2
105,756.4445317866144,36.265928094797935,0.0,1.0,2.2
106,759.9829234198683,32.96890467188246,0.0,1.0,2.2
107,768.9312079553116,37.76216972940449,0.0,1.0,2.2
108,775.8709303847701,43.69956683402752,0.0,1.0,2.2
109,781.1000061044498,47.59397562641006,0.0,1.0,2.2
110,797.7344392844666,62.440624049033104,0.0,1.0,2.2
111,806.1965885505703,70.56819351819567,0.0,1.0,2.2
112,808.1807213536571,70.02275080452135,0.0,1.0,2.2
113,811.9543322503016,73.37716826535024,0.0,1.0,2.2
114,812.0079458861954,73.4472851434303,0.0,1.0,2.2
115,813.6732193952352,75.36694625194268,0.0,1.0,2.2
116,814.2906862154505,76.6768508097121,0.0,0.0,2.2
117,812.5496263790708,74.70403984852486,0.0,1.0,2.2
118,807.1566465904799,68.57627258375958,0.0,1.0,2.2
119,803.0668559980011,64.5095084786195,0.0,1.0,2.2
120,798.148939077574,59.56917793194061,0.0,1.0,2.2
